,rmsd
0,18228.908897176454
1,18232.881250834547
2,18285.85061169021
3,18429.847387915728
4,18371.946248322514
5,18379.40033715502
6,18270.253472059383
7,18297.77608549471
8,18260.144196083584
9,18394.996822784553
10,18330.775963375
11,18286.061301747348
12,18397.011478360168
13,18357.741237003716
14,18372.19140299623
15,18317.382810529558
16,18381.104361471254
17,18263.84349804944
18,18387.828030143086
19,18250.731932806146
20,18296.91338690172
21,18378.40339409956
22,18260.009752287042
23,18368.16641192116
24,18315.618088299434
25,18360.154628255143
26,18371.115742157133
27,18346.205532863118
28,18390.010225748505
29,18225.178191011313
30,18358.12256702569
31,18264.059718563396
32,18337.35132727854
33,18222.868632137295
34,18279.45947314281
35,18307.882321896726
36,18328.323487366695
37,18194.878155171882
38,18235.55586786664
39,18195.91971598917
40,18382.085710769974
41,18355.354259563686
42,18241.437602457423
43,18192.06021156214
44,18208.678024160206
45,18168.07087554826
46,18323.978584552267
47,18373.575099870828
48,18213.76251507092
49,18169.31548297221
50,18199.332882584855
51,18338.126712438476
52,18355.94155146215
53,18190.993520709075
54,18302.803911824656
55,18250.287366708068
56,18208.271709057884
57,18104.018172684122
58,18196.07243045506
59,18181.671087303075
60,18241.66859634656
61,18284.593143459493
62,18475.891204531967
63,18103.244156667653
64,18142.471324467668
65,18343.24321552921
66,18124.416397965284
67,18265.573236180455
68,18162.04455865898
69,18156.05640110678
70,18242.17285420287
71,18079.608951959566
72,18308.36843771049
73,18396.753014220598
74,18141.688626004998
75,18108.792448139862
76,18201.097015480358
77,18254.33749957041
78,18277.776973385746
79,18207.90260943389
80,18123.56090280771
81,18264.182585511993
82,18372.819761335042
83,18208.288896793412
84,18193.22056581143
85,18209.436696357425
86,18213.925462327217
87,18241.143955420306
88,18204.636136500158
89,18091.52486470715
90,18156.884388611474
91,18190.873818022126
92,18176.78391451676
93,18218.374514430037
94,18092.23426158387
95,18230.281197082415
96,18165.152826621386
97,18082.33680377066
98,17961.297688275707
99,18153.457328893786
