Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
209,9,273,48,1689,684,1865,157,165,1055,907,13,56,1875,958,112,120,205,1707,47,875,2730,3155,244,221,279,14,50,205,53,5914,93,22009,305,16,852,194,87,1793,276,166,10,177,678,41,46,437,779,32,266,7
219,9,275,51,1725,688,1924,170,178,1075,916,14,56,1933,993,118,121,208,1729,50,910,2899,3315,272,227,281,14,56,206,60,5938,99,22269,324,17,902,195,92,1816,290,174,11,181,699,41,46,449,799,34,272,7
228,9,275,51,1779,706,2012,183,185,1088,995,16,56,1983,1036,127,126,213,1740,51,945,3003,3407,286,229,343,14,56,206,60,6044,99,22668,340,19,948,197,92,1886,300,177,11,184,717,41,47,460,810,34,281,7
242,9,275,57,1864,736,2087,194,190,1171,1036,16,60,2125,1072,136,127,225,1801,51,1016,3153,3568,301,239,330,15,56,219,60,6442,105,22912,363,19,1003,207,99,2046,322,192,11,188,764,41,47,492,820,38,300,7
256,9,308,57,1946,766,2169,206,205,1218,1101,16,60,2215,1116,148,134,234,1845,52,1078,3405,3670,319,250,339,16,56,230,60,6771,112,23477,382,19,1044,214,101,2373,340,231,13,195,803,45,47,522,828,38,308,7
272,9,320,61,2031,777,2257,212,224,1268,1132,16,60,2355,1161,162,134,240,1905,53,1140,3562,3789,343,261,351,16,70,243,72,7228,123,23587,406,19,1073,222,103,2475,364,244,17,199,847,46,49,552,836,41,316,7
289,9,330,64,2126,821,2339,224,231,1314,1169,16,63,2457,1198,170,140,246,1970,55,1080,3716,3866,370,281,361,16,73,246,81,7538,131,24039,419,23,1122,230,104,2635,378,256,21,204,882,46,50,581,850,46,327,7
288,9,330,72,2180,832,2436,236,240,1364,1177,16,64,2559,1242,175,142,248,1993,56,1251,3846,4021,394,291,377,16,73,255,84,7742,138,24198,431,24,1163,238,109,2695,402,267,21,209,917,49,51,617,862,48,334,7
290,9,362,76,2216,842,2436,248,251,1379,1184,17,64,2618,1278,184,144,253,2012,57,1281,4004,4053,418,303,383,16,78,258,86,7871,151,24708,434,25,1207,238,109,2720,423,275,21,210,940,50,53,660,874,48,339,7
298,9,362,80,2278,851,2556,258,258,1399,1246,17,64,2659,1317,188,156,261,2064,57,1317,4090,4139,427,310,389,16,78,265,86,7910,156,24999,442,25,1235,238,109,2838,441,283,21,219,965,50,52,684,885,48,340,7
315,9,395,83,2381,903,2633,269,264,1471,1299,17,65,2834,1356,207,161,275,2115,61,1390,4212,4183,455,342,412,16,78,270,92,8244,162,25124,472,25,1273,247,113,3179,457,296,24,226,984,56,52,713,898,48,353,7
343,10,426,87,2464,919,2718,272,277,1539,1327,17,66,2974,1400,219,164,283,2167,62,1437,4420,4256,485,374,431,16,78,289,92,8549,169,25623,492,31,1315,253,115,3345,478,305,29,239,1013,58,52,713,911,50,362,7
369,10,450,87,2535,944,2797,288,285,1600,1355,17,67,3111,1434,231,165,294,2208,62,1503,4552,4345,508,396,453,16,91,297,114,8807,172,26144,513,31,1355,260,121,3589,499,316,31,238,1046,61,53,769,925,51,374,7
383,10,517,88,2613,960,2874,301,304,1669,1400,17,67,3241,1462,243,168,298,2227,63,1560,4702,4399,534,409,487,16,90,294,121,8960,181,26243,530,33,1394,266,124,3715,521,320,31,242,1081,61,53,812,941,52,384,7
390,10,532,88,2687,967,2932,305,311,1715,1403,17,67,3349,1495,252,174,304,2267,64,1614,4840,4530,558,421,497,16,90,313,131,9116,191,26612,551,35,1434,270,127,3779,536,330,34,242,1117,66,53,827,952,52,398,7
393,10,536,91,2716,971,2967,316,323,1721,1406,17,67,3406,1529,265,174,304,2286,64,1644,4979,4555,578,430,505,16,90,310,133,9256,200,26641,564,35,1468,272,127,3806,550,331,34,243,1150,67,53,839,968,54,400,7
403,10,542,94,2779,987,3008,328,328,1735,1444,17,70,3459,1571,271,180,311,2308,65,1683,5108,4584,591,435,518,16,98,312,133,9340,208,26988,575,36,1494,274,130,3832,565,346,34,251,1179,68,53,850,974,54,409,7
435,10,562,95,2879,1010,3041,339,336,1779,1498,17,69,3601,1610,289,184,321,2347,65,1756,5141,4674,614,457,534,16,100,321,142,9531,219,27284,600,38,1532,278,130,3914,587,355,39,266,1216,73,53,892,990,58,418,7
450,10,595,97,2957,1062,3125,355,350,1827,1517,17,69,3792,1638,306,188,321,2381,66,1809,5315,4714,638,465,556,16,103,331,150,9714,231,27477,625,40,1569,278,134,4094,600,362,39,273,1238,75,53,928,996,58,421,7
473,10,624,98,3052,1086,3219,367,358,1875,1545,17,72,3928,1682,318,189,328,2417,69,1866,5482,4787,672,480,571,16,103,333,151,9946,242,27641,641,40,1596,284,137,4288,615,371,43,287,1309,75,53,956,1004,60,434,7
483,10,651,98,3136,1150,3285,378,368,1917,1588,17,72,4059,1715,336,193,332,2448,69,1911,5592,4825,692,493,586,16,113,343,151,10148,253,27878,667,42,1641,285,137,4422,629,380,44,290,1356,77,53,978,1016,64,445,7
485,10,679,98,3208,1192,3339,388,375,1964,1598,17,73,4129,1745,346,195,334,2479,70,1957,5705,4881,709,510,599,16,123,347,171,10261,259,28049,676,42,1675,288,137,4480,644,380,44,295,1395,78,53,1003,1024,64,453,7
488,10,680,98,3240,1215,3408,398,383,1973,1610,17,73,4177,1775,351,195,334,2491,70,1992,5797,4891,731,521,605,16,123,350,172,10363,265,28232,686,43,1709,288,137,4495,654,385,44,298,1418,80,54,1010,1035,67,453,8
489,10,687,100,3279,1224,3450,405,392,1997,1649,17,74,4234,1816,355,198,346,2563,71,2023,5862,4915,740,527,616,16,123,358,172,10439,270,28339,693,44,1747,288,138,4515,672,391,44,301,1430,80,54,1015,1041,68,459,10
504,10,705,102,3403,1257,3472,416,400,2052,1675,17,74,4379,1846,367,199,366,2581,73,2081,5938,5017,757,554,636,16,123,358,172,10587,276,28558,693,45,1780,293,140,4628,683,399,46,305,1465,88,54,1042,1048,68,467,10
522,10,747,107,3497,1299,3529,425,407,2096,1697,17,77,4525,1878,393,202,376,2608,73,2123,6066,5060,786,570,645,16,138,377,190,10749,283,28636,726,49,1809,299,144,4770,705,407,46,305,1507,90,54,1075,1052,69,481,11
529,10,764,110,3583,1310,3583,430,412,2144,1775,17,77,4607,1917,410,204,386,2629,73,2159,6148,5129,818,580,673,16,138,383,199,10846,294,28743,728,51,1846,304,145,4869,725,416,48,313,1530,92,54,1100,1061,70,487,12
541,10,775,113,3666,1324,3637,435,418,2190,1808,17,79,4715,1935,424,205,391,2668,75,2207,6228,5158,851,595,682,16,147,386,204,10985,302,28853,775,52,1878,307,147,5010,736,419,50,315,1541,93,54,1136,1066,72,496,12
