,rmsd
0,22318.88055404187
1,21410.26724670419
2,17297.59706551411
3,8581.954607403224
4,5737.312564643115
5,4442.455431932421
6,3343.701605872996
7,2842.862138967781
8,2309.174353911958
9,2389.9262785824226
10,2014.0954746194013
11,1649.660358448154
12,1526.6721194461234
13,1655.4596000364795
14,1564.5085653892957
15,1554.5676708446285
16,1557.5839608188057
17,1597.0985859474347
18,1604.186135690362
19,1578.5397247605324
20,1591.5297214056818
21,1702.826598456743
22,1511.8618708303306
23,1538.6678950236371
24,1558.6591431136471
25,1498.3372770782803
26,1544.2528672277654
27,1499.1945050004454
28,1678.5223710156502
29,1652.2065623601318
30,1540.4377916683295
31,1592.7910795943371
32,1501.9181738305033
33,1424.8869578486072
34,1564.5165034942536
35,1534.7953147684843
36,1525.4558728458842
37,1426.5180784817605
38,1465.6747952032606
39,1603.7110064949165
40,1446.838135586782
41,1546.1375678844133
42,1451.0915723932064
43,1602.4879391121797
44,1540.3435843801794
45,1530.5698450538719
46,1495.8505115622936
47,1364.353769350595
48,1465.5523893339168
49,1446.9506992902247
50,1383.4451839732658
51,1501.10741366264
52,1526.4607810803634
53,1402.12887498219
54,1475.945481118899
55,1551.8213277421135
56,1528.9609946742578
57,1460.1179024714575
58,1483.1628185976717
59,1434.8117892560808
60,1441.6416868401427
61,1443.2142511442576
62,1507.150959982599
63,1435.2885252060764
64,1427.4706071971377
65,1392.670758882752
66,1317.8362286673696
67,1436.3932868165894
68,1457.6048677842134
69,1448.8176231997309
70,1436.315145862946
71,1373.5203023189551
72,1466.3400645825654
73,1434.4230085135073
74,1381.7022180671795
75,1327.4483165966556
76,1390.278064019611
77,1397.8321279542747
78,1521.0133067832646
79,1390.9022015985756
80,1507.6590319003121
81,1395.8723054904747
82,1354.13808119452
83,1381.9631675520834
84,1465.5566858404911
85,1391.9053376999623
86,1406.8935281007462
87,1431.8554742423014
88,1473.4812813438082
89,1430.7041071978992
90,1445.3033716754667
91,1457.6176203170796
92,1418.7308691635797
93,1398.6963657382578
94,1356.8822594029118
95,1325.1247197683608
96,1343.2225883168837
97,1378.6090568992743
98,1314.290934194511
99,1337.8485139119714
