total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
816301,3286050,703540,0.25,2.07,100089,1.78,8.32,37790.5,38012.5,1909.73333333333,0.248
891489,3435650,744545,0.34,2.26,133689,1.88,8.7,75188,75188,1903,0.259
975293,3540175,801998,0.43,2.47,169031.5,2.03,8.96,83804,79496,2012,0.275
1072959,3548575,865387,0.52,2.72,204374,2.19,8.98,97666,85553,2165,0.302
1169826.75,3548575,948032.5,0.555,2.965,218490,2.4,8.98,96867.75,88381,2237,0.3295
1266694.5,3548575,1030678,0.59,3.21,232606,2.61,8.98,96867.75,90079,2280,0.357
1363562.25,3548575,1113323.5,0.625,3.455,246722,2.82,8.98,96867.75,91210,2308,0.3845
1460430,3548575,1195969,0.66,3.7,260838,3.03,8.98,96867.75,92018,2329,0.412
1532329,4169450,1255311,0.69,3.88,273276,3.18,10.55,71899,91549,2317,0.368
1633875,4379500,1335886,0.74,4.14,293834,3.38,11.08,101546,94083,2381,0.373
1803679,4714625,1477195,0.81,4.56,321839,3.74,11.93,169804,104389,2642,0.383
2008220,4906525,1661683,0.86,5.08,341731,4.21,12.42,204541,119770,3031,0.409
2199908,4906525,1838464,0.9,5.57,356382,4.65,12.42,191688,133316,3374,0.448
2330633,4906525,1954048,0.94,5.9,371482,4.95,12.42,130725,138153,3496,0.475
2446577,5340275,2053652,0.98,6.19,387563,5.2,13.52,115944,140878,3565,0.458
2579666,5452575,2156029,1.06,6.53,417606,5.46,13.8,133089,149620,3787,0.473
2746876,5547100,2281453,1.16,6.95,458585,5.77,14.04,167210,159000,4024,0.495
2910562,5640225,2415659,1.23,7.37,487552,6.11,14.27,163686,158126,4002,0.516
3095781,5666150,2563559,1.33,7.83,524350,6.49,14.34,185219,155366,3932,0.546
3285351,5666550,2717530,1.41,8.31,558977,6.88,14.34,189570,155063,3924,0.58
3453284,5666550,2861767,1.47,8.74,581985,7.24,14.34,167933,160379,4059,0.609
3543817,5670500,2940488,1.5,8.97,592045,7.44,14.35,90533,156749,3967,0.625
3671316,6343925,3044980,1.55,9.29,613845,7.71,16.06,127499,155950,3947,0.579
3723803,6438225,3085932,1.58,9.42,625189,7.81,16.29,52487,139561,3532,0.578
3920632,6773350,3228084,1.71,9.92,675027,8.17,17.14,196829,144296,3652,0.579
4137600,6963500,3389906,1.84,10.47,727993,8.58,17.62,216968,148831,3767,0.594
4485166,6963500,3653538,2.05,11.35,808832,9.25,17.62,347566,171402,4338,0.644
4682862,6963500,3811715,2.15,11.85,847993,9.65,17.62,197696,175654,4446,0.672
4784478,7385225,3880253,2.22,12.11,875340,9.82,18.69,101616,177237,4486,0.648
4957297,7607100,3994969,2.35,12.55,928615,10.11,19.25,172819,183712,4649,0.652
5134864,7822300,4108216,2.51,13,990128,10.4,19.8,177567,201580,5102,0.656
5341104,7963575,4222810,2.74,13.52,1081040,10.69,20.15,206240,202925,5136,0.671
5562553,8051475,4345018,2.98,14.08,1178577,11,20.38,221449,203565,5152,0.691
5820388,8059325,4493220,3.26,14.73,1287390,11.37,20.4,257835,190746,4828,0.722
6015690,8154987.5,4600913.5,3.475,15.225,1371806,11.645,20.64,195302,190404,4819,0.7375
6210992,8250650,4708607,3.69,15.72,1456222,11.92,20.88,195302,203788,5158,0.753
6323011,8406525,4766592,3.82,16,1507829,12.06,21.28,112019,195102,4938,0.752
6496140,8722400,4865151,4,16.44,1581541,12.31,22.08,173129,194468,4922,0.745
6964603,9164130,5159868,4.44,17.63,1753917,13.06,23.19,468463,231928,5870,0.76
7201713,9178020,5285256,4.72,18.23,1864867,13.38,23.23,237110,234166,5926,0.785
7453468,9178020,5426591,5,18.86,1974488,13.73,23.23,251755,233297,5904,0.812
7604725,9178020,5494435,5.18,19.25,2045420,13.91,23.23,151257,227005,5745,0.829
7728120,10168620,5560177,5.32,19.56,2102729,14.07,25.74,123395,216733,5485,0.76
7876011,10702330,5639811,5.49,19.93,2170406,14.27,27.09,147891,221857,5615,0.736
8064121,10956910,5737092,5.72,20.41,2259934,14.52,27.73,188110,223997,5669,0.736
8310945,11297300,5862161,6.02,21.03,2380502,14.84,28.59,246824,192335,4868,0.736
8566470,11587650,5994948,6.33,21.68,2502426,15.17,29.33,255525,194965,4934,0.739
8821044,11587650,6141765,6.6,22.32,2609341,15.54,29.33,254574,195368,4944,0.761
9106077,11587650,6294258,6.94,23.05,2740495,15.93,29.33,285033,214479,5428,0.786
9497125,12528070,6520515,7.34,24.04,2900991,16.5,31.71,391048,252715,6396,0.758
9731169,12776090,6661278,7.57,24.63,2992863,16.86,32.33,234044,265023,6707,0.762
9860209,13233190,6739681,7.7,24.95,3042381,17.06,33.49,129040,256584,6494,0.745
10071476,13609110,6868469,7.91,25.49,3124031,17.38,34.44,211267,251504,6365,0.74
