confirmed,death
2832085,31345
2870104,31871
2910044,32517
2948054,33192
2983149,33574
3014428,33810
3043005,33961
3078551,34656
3097632,35277
3122705,36036
3147207,36615
3168028,37101
3187475,37376
3213222,37800
3235045,38496
3251292,39050
3273905,39817
3293531,40497
3310949,40976
3324264,41211
3342647,41702
3355781,42157
3368281,42762
3382932,43387
3399745,44019
3408241,44361
3417982,44594
3432088,44940
3442672,45454
3451176,45925
3461753,46475
3471311,46932
3480228,47349
3485841,47564
3491392,47630
3499871,48037
3506402,48457
3512396,48824
3521225,49380
3527338,49680
3531846,49936
3536946,50151
3543340,50496
3549090,51582
3554629,52082
3559682,52435
3564094,52599
3567582,52835
3573549,53146
3577966,53449
3582320,53728
3587567,54108
3592560,54495
3596760,54771
3599311,54858
3602445,54950
3607891,55259
3611295,55515
3614852,55776
3618976,56122
3620890,56281
3623063,56421
3626027,56521
3628300,56644
3631572,56882
3635179,57133
3638212,57313
3640524,57343
3641876,57404
3645303,57662
3647808,57843
3650638,58067
3653168,58375
3656610,58605
3658714,58795
3660713,58948
3663913,59030
3666266,59128
3668745,59274
3671349,59411
3675191,59614
3676183,59667
3676873,59720
3682861,59799
3685045,59887
3687493,59993
3690031,60129
3693674,60286
3696980,60384
3700471,60452
3704070,60495
3706629,60547
3708716,60717
3711723,60808
3714587,60922
3716579,60994
3718210,61038
3720901,61045
3723446,61122
3725088,61193
3727913,61309
3729116,61401
3731145,61445
3731770,61479
3734562,61500
3736745,61526
3738327,61587
3740038,61672
3742115,61768
3743681,61866
3744937,61939
3747337,61967
3749580,62029
3750644,62070
3753173,62154
3755869,62220
3757115,62280
3758137,62314
3760303,62334
3761779,62365
3763281,62472
3764405,62573
3767052,62633
3768087,62656
3768805,62690
3769827,62699
3771240,62727
3772702,62765
3774494,62817
3775619,62862
3776346,62911
3777077,62933
3778139,62945
