,rmsd
0,25305.002280995282
1,20714.09845569011
2,16708.605549682976
3,9711.15806728875
4,5861.08871035222
5,4183.9480254825085
6,3202.1214826345617
7,2741.3020165655344
8,2190.917360955627
9,1709.001923250759
10,1604.8388263573574
11,1400.5157138273787
12,1345.9097087548473
13,1455.6553568594925
14,1387.4592619865718
15,1145.9041829293583
16,1156.066795565413
17,1207.3657383093803
18,1189.7195668137388
19,1140.7069847503242
20,1035.4458372042536
21,1297.7983496279383
22,1150.1179435458034
23,1048.716401033524
24,1171.509559371683
25,1080.4704421253816
26,1062.487978804134
27,1130.2623115741374
28,1095.6312029595763
29,1030.191587285431
30,1012.550146841917
31,1214.618421689927
32,1038.5867479338003
33,1047.030081297979
34,1020.1104483327375
35,1006.4126842651842
36,1033.5745238061252
37,1088.064805605522
38,956.6817928053683
39,925.2938921949573
40,1129.7297775088284
41,1111.8789536589818
42,1078.1188000771228
43,981.0074863885811
44,984.3180087443042
45,1289.9066870516128
46,918.7509877809349
47,1000.5121949473744
48,967.1725397829365
49,950.9362363256404
50,967.2573371838844
51,1036.5731993740524
52,970.2676820628507
53,1040.0188797852197
54,983.2960691750113
55,932.3160780537829
56,985.2303413344955
57,917.2053105888468
58,1024.5449953930913
59,886.5764601823527
60,1004.6498715810226
61,1001.0302595815831
62,941.0649986615605
63,892.9193167114329
64,1030.5759925481289
65,918.0401870940168
66,886.5629698471541
67,989.907102381077
68,973.1077632619355
69,905.3133994426034
70,982.125052368602
71,917.5455830593733
72,940.2474771340944
73,1089.9945458695986
74,903.3245925498503
75,877.4618386557764
76,962.9040661276887
77,976.9542613957852
78,966.8660830719136
79,1053.9371563293305
80,923.7190666244416
81,934.2064060196008
82,1034.3805891210075
83,965.1230988493579
84,956.5590987925073
85,985.9161129054191
86,947.6418896659465
87,976.6255035636296
88,881.2896461269129
89,984.9640708209332
90,979.3434491585039
91,906.8398300131903
92,945.8689609508779
93,987.3717650022296
94,927.351792997293
95,862.5627185632735
96,875.0520501334562
97,991.4885522029342
98,894.9085033068538
99,915.0102039599146
